Modelo-Tipo;Período comercial;cilindrada;cilindros;combustible;potencia Kwh;CVF;potencia CV;precio medio 2020
80 1.9 TDi;1990-1995;1898;4;D;66;12,91;90;14300
80 2.0 E;1991-1995;1984;4;G;85;13,26;116;12600
80 2.0 16v/Quattro;1991-1995;1984;4;G;103;13,26;140;16000
80 2.3 E A.A.;1991-1995;2309;5;G;98;15,88;133;15600
80 2.6 E A.A.;1991-1995;2598;6;G;110;18,33;150;16500
80 2.6 E Aut A.A.;1991-1995;2598;6;G;110;18,33;150;17900
80 2.6 Quattro;1991-1995;2598;6;G;110;18,33;150;20200
80 2.8 E V6 A.A.;1991-1995;2771;6;G;128;19,05;174;19300
80 2.8 E V6 Quattro A.A.;1991-1995;2771;6;G;128;19,05;174;21200
80 AVANT 1.9 TDI;1993-1995;1896;4;D;66;12,9;90;16200
80 AVANT 2.6;1993-1995;2598;6;G;110;18,33;150;18200
80 AVANT 2.6 Quattro;1993-1995;2598;6;G;110;18,33;150;20200
80 AVANT RS2 2.2;1993-1995;2226;5;G;233;15,53;316;41400
80 AVANT S2 2.2;1993-1995;2226;5;G;169;15,53;230;29100
100 2.3;1991-1994;2309;5;G;98;15,88;133;17100
100 2.5 TDI;1992-1994;2461;5;D;85;16,49;116;20900
100 2.6 V6;1991-1994;2598;6;G;110;18,33;150;18500
100 2.6 V6 Quattro;1991-1994;2598;6;G;110;18,33;150;20600
100 2.8;1991-1994;2771;6;G;128;19,05;174;21400
100 2.8 Quattro;1991-1994;2771;6;G;128;19,05;174;23500
100 AVANT 2.5 TDI;1992-1994;2461;5;D;85;16,49;116;21000
100 AVANT 2.6;1992-1994;2598;6;G;110;18,33;150;20300
100 AVANT 2.6 Quattro;1992-1994;2598;6;G;110;18,33;150;22300
100 S4 2.2;1991-1994;2226;6;G;169;16,71;230;31700
100 S4 4.2;1991-1994;4172;8;G;206;27,32;280;37300
A1 1.0 TFSI Active Kit;2015-;999;3;G;70;7,83;95;16200
A1 1.0 TFSI Active Kit S Tronic;2015-;999;3;G;70;7,83;95;17800
A1 1.0 TFSI Adrenalin;2015-;999;3;G;70;7,83;95;15600
A1 1.0 TFSI Adrenalin S Tronic;2015-;999;3;G;70;7,83;95;17100
A1 1.0 TFSI Adrenalin2;2015-;999;3;G;70;7,83;95;19200
A1 1.0 TFSI Adrenalin2 S Tronic;2015-;999;3;G;70;7,83;95;19200
A1 1.0 TFSI Attracted;2015-;999;3;G;70;7,83;95;14900
A1 1.0 TFSI Attracted S Tronic;2015-;999;3;G;70;7,83;95;16400
A1 1.0 TFSI Attraction;2015-;999;3;G;70;7,83;95;14000
A1 1.0 TFSI Attraction S Tronic;2015-;999;3;G;70;7,83;95;15500
A1 1.0 TFSI Design;2015-;999;3;G;70;7,83;95;15900
A1 1.0 TFSI Design S Tronic;2015-;999;3;G;70;7,83;95;17300
A1 1.2 TFSI Adrenalin;2010-2014;1197;4;G;63;9,79;86;13200
A1 1.2 TFSI Adrenalin2;2010-2014;1197;4;G;63;9,79;86;16000
A1 1.2 TFSI Ambition;2010-2014;1197;4;G;63;9,79;86;14100
A1 1.2 TFSI Attracted;2010-2014;1197;4;G;63;9,79;86;14000
A1 1.2 TFSI Attraction;2010-2014;1197;4;G;63;9,79;86;12000
A1 1.2 TFSI Kult;2010-2014;1197;4;G;63;9,79;86;13100
A1 1.4 TFSI Adrenalin2;2010-2014;1390;4;G;90;10,71;122;18400
A1 1.4 TFSI Adrenalin2 S-T 119CO2;2010-2014;1390;4;G;90;10,71;122;19100
A1 1.4 TFSI Adrenalin2 S-T;2010-2014;1390;4;G;90;10,71;122;19900
A1 1.4 TFSI Ambition;2010-2014;1390;4;G;90;10,71;122;16400
A1 1.4 TFSI Ambition S-T 119CO2;2010-2014;1390;4;G;90;10,71;122;17000
A1 1.4 TFSI Ambition S-T;2010-2014;1390;4;G;90;10,71;122;18100
A1 1.4 TFSI Attraction;2010-2014;1390;4;G;90;10,71;122;14200
A1 1.4 TFSI Attraction S-T 119CO2;2010-2014;1390;4;G;90;10,71;122;15000
A1 1.4 TFSI Attraction S-T;2010-2014;1390;4;G;90;10,71;122;15800
A1 1.4 TFSI Adrenalin2 S-T 185;2010-2014;1390;4;G;136;10,71;185;23100
A1 1.4 TFSI Ambition S-T 185;2010-2014;1390;4;G;136;10,71;185;21200
A1 1.4 TFSI CoD Adrenalin2 140;2010-2014;1395;4;G;103;10,73;140;18600
A1 1.4 TFSI CoD Adrenalin2 S-Tronic 140;2010-2014;1395;4;G;103;10,73;140;20000
A1 1.4 TFSI CoD Ambition 140;2010-2014;1395;4;G;103;10,73;140;17400
A1 1.4 TFSI CoD Ambition S-Tronic 140;2010-2014;1395;4;G;103;10,73;140;18800
A1 1.4 TFSI CoD Attraction 140;2010-2014;1395;4;G;103;10,73;140;15400
A1 1.4 TFSI CoD Attraction S-Tronic 140;2010-2014;1395;4;G;103;10,73;140;16800
A1 1.0 TFSI Active Kit 125;2015-;1395;4;G;92;10,73;125;18300
A1 1.0 TFSI Active Kit S Tronic 125;2015-;1395;4;G;92;10,73;125;19800
A1 1.4 TFSI Adrenalin 125;2015-;1395;4;G;92;10,73;125;17600
A1 1.4 TFSI Adrenalin S Tronic 125;2015-;1395;4;G;92;10,73;125;19200
A1 1.4 TFSI Adrenalin2 125;2015-;1395;4;G;92;10,73;125;19200
A1 1.4 TFSI Adrenalin2 S Tronic 125;2015-;1395;4;G;92;10,73;125;20800
A1 1.4 TFSI Attraction 125;2015-;1395;4;G;92;10,73;125;16000
A1 1.4 TFSI Attraction S Tronic 125;2015-;1395;4;G;92;10,73;125;17400
A1 1.4 TFSI Design 125;2015-;1395;4;G;92;10,73;125;17800
A1 1.4 TFSI Design S Tronic 125;2015-;1395;4;G;92;10,73;125;19300
A1 1.4 TFSI CoD Active Kit 150;2015-;1395;4;G;110;10,73;150;19500
A1 1.4 TFSI CoD Active Kit S Tronic 150;2015-;1395;4;G;110;10,73;150;21100
A1 1.4 TFSI CoD Adrenalin 150;2015-;1395;4;G;110;10,73;150;18900
A1 1.4 TFSI CoD Adrenalin S Tronic 150;2015-;1395;4;G;110;10,73;150;20400
A1 1.4 TFSI CoD Adrenalin2 150;2015-;1395;4;G;110;10,73;150;20500
A1 1.4 TFSI CoD Adrenalin2 S Tronic 150;2015-;1395;4;G;110;10,73;150;22000
A1 1.4 TFSI CoD Attraction 150;2015-;1395;4;G;110;10,73;150;17100
A1 1.4 TFSI CoD Attraction S Tronic 150;2015-;1395;4;G;110;10,73;150;18600
A1 1.4 TFSI CoD Design 150;2015-;1395;4;G;110;10,73;150;19000
A1 1.4 TFSI CoD Design S Tronic 150;2015-;1395;4;G;110;10,73;150;20400
A1 1.4 TDI Active Kit;2015-;1422;3;D;66;9,68;90;18500
A1 1.4 TDI Active Kit S Tronic;2015-;1422;3;D;66;9,68;90;20100
A1 1.4 TDI Adrenalin;2015-;1422;3;D;66;9,68;90;18100
A1 1.4 TDI Adrenalin S Tronic;2015-;1422;3;D;66;9,68;90;19700
A1 1.4 TDI Adrenalin2;2015-;1422;3;D;66;9,68;90;19800
A1 1.4 TDI Adrenalin2 S Tronic;2015-;1422;3;D;66;9,68;90;21400
A1 1.4 TDI Attracted;2015-;1422;3;D;66;9,68;90;17400
A1 1.4 TDI Attracted S Tronic;2015-;1422;3;D;66;9,68;90;19000
A1 1.4 TDI Attraction;2015-;1422;3;D;66;9,68;90;16300
A1 1.4 TDI Attraction S Tronic;2015-;1422;3;D;66;9,68;90;17900
A1 1.4 TDI Design;2015-;1422;3;D;66;9,68;90;18300
A1 1.4 TDI Design S Tronic;2015-;1422;3;D;66;9,68;90;19900
A1 1.4 TDI ultra Adrenalin;2015-;1422;3;D;66;9,68;90;17800
A1 1.4 TDI ultra Adrenalin S Tronic;2015-;1422;3;D;66;9,68;90;19500
A1 1.4 TDI ultra Adrenalin2;2015-;1422;3;D;66;9,68;90;19500
A1 1.4 TDI ultra Adrenalin2 S Tronic;2015-;1422;3;D;66;9,68;90;21100
A1 1.4 TDI ultra Attracted;2015-;1422;3;D;66;9,68;90;17100
A1 1.4 TDI ultra Attracted S Tronic;2015-;1422;3;D;66;9,68;90;18800
A1 1.4 TDI ultra Attraction;2015-;1422;3;D;66;9,68;90;16100
A1 1.4 TDI ultra Attraction S Tronic;2015-;1422;3;D;66;9,68;90;17600
A1 1.4 TDI ultra Design;2015-;1422;3;D;66;9,68;90;18100
A1 1.4 TDI ultra Design S Tronic;2015-;1422;3;D;66;9,68;90;19600
A1 1.6 TDI Adrenalin 90;2010-2014;1598;4;D;66;11,64;90;15200
A1 1.6 TDI Adrenalin2 90;2010-2014;1598;4;D;66;11,64;90;18100
A1 1.6 TDI Ambition 90;2010-2014;1598;4;D;66;11,64;90;14000
A1 1.6 TDI Attracted 90;2010-2014;1598;4;D;66;11,64;90;16000
A1 1.6 TDI Attraction 90;2010-2014;1598;4;D;66;11,64;90;14000
A1 1.6 TDI Adrenalin S-T 90;2010-2014;1598;4;D;66;11,64;90;16700
A1 1.6 TDI Adrenalin2 S-T 90;2010-2014;1598;4;D;66;11,64;90;19500
A1 1.6 TDI Ambition S-T 90;2010-2014;1598;4;D;66;11,64;90;17700
A1 1.6 TDI Attracted S-T 90;2010-2014;1598;4;D;66;11,64;90;17500
A1 1.6 TDI Attraction S-T 90;2010-2014;1598;4;D;66;11,64;90;15500
A1 1.6 TDI Adrenalin2;2010-2014;1598;4;D;77;11,64;105;18900
A1 1.6 TDI Ambition;2010-2014;1598;4;D;77;11,64;105;16800
A1 1.6 TDI Attraction;2010-2014;1598;4;D;77;11,64;105;14600
A1 1.6 TDI Active Kit;2015-;1598;4;D;85;11,64;116;19700
A1 1.6 TDI Active Kit S Tronic;2015-;1598;4;D;85;11,64;116;21300
A1 1.6 TDI Adrenalin;2015-;1598;4;D;85;11,64;116;19000
A1 1.6 TDI Adrenalin S Tronic;2015-;1598;4;D;85;11,64;116;20600
A1 1.6 TDI Adrenalin2;2015-;1598;4;D;85;11,64;116;20700
A1 1.6 TDI Adrenalin2 S Tronic;2015-;1598;4;D;85;11,64;116;22300
A1 1.6 TDI Attraction;2015-;1598;4;D;85;11,64;116;17200
A1 1.6 TDI Attraction S Tronic;2015-;1598;4;D;85;11,64;116;18800
A1 1.6 TDI Design;2015-;1598;4;D;85;11,64;116;19200
A1 1.6 TDI Design S Tronic;2015-;1598;4;D;85;11,64;116;20700
A1 1.8 TFSI S Tronic;2015-;1798;4;G;141;12,5;192;23200
A1 1.8 TFSI Adrenalin2 S Tronic;2015-;1798;4;G;141;12,5;192;25000
A1 2.0 TDI Adrenalin2;2010-2014;1968;4;D;105;13,19;143;20500
A1 2.0 TDI Ambition;2010-2014;1968;4;D;105;13,19;143;18600
A1 S1 2.0 TFSI;2010-2014;1984;4;G;170;13,26;231;26600
A1 S1 2.0 TFSI quattro;2015-;1984;4;G;170;13,26;231;28000
A3 Sportback 0,999 30 TFSI 6 vel.;2018-;999;3;G;85;7,83;116;21900
A3 Sportback 0,999 30 TFSI Black line 6 vel.;2018-;999;3;G;85;7,83;116;25700
A3 Sportback 0,999 30 TFSI Black line S tronic;2018-;999;3;G;85;7,83;116;27600
A3 Sportback 0,999 30 TFSI Design 6 vel.;2018-;999;3;G;85;7,83;116;23900
A3 Sportback 0,999 30 TFSI Design S tronic;2018-;999;3;G;85;7,83;116;25800
A3 Sportback 0,999 30 TFSI S line 6 vel.;2018-;999;3;G;85;7,83;116;24900
A3 Sportback 0,999 30 TFSI S line S tronic;2018-;999;3;G;85;7,83;116;26700
A3 Sportback 0,999 30 TFSI S tronic;2018-;999;3;G;85;7,83;116;23700
A1 Citycarver 25 TFSI 5 vel.;2019-;999;3;G;70;7,83;95;19200
A1 Citycarver 30 TFSI 6 vel.;2019-;999;3;G;85;7,83;116;20100
A1 Citycarver 30 TFSI S Tronic 7 vel.;2019-;999;3;G;85;7,83;116;21600
A1 Citycarver Black Line 25 TFSI 5 vel.;2019-;999;3;G;70;7,83;95;20600
A1 Citycarver Black Line 30 TFSI 6 vel.;2019-;999;3;G;85;7,83;116;21600
A1 Citycarver Black Line 30 TFSI S Tronic 7 vel.;2019-;999;3;G;85;7,83;116;23100
A1 Sportback 1.0 TFSI Active Kit;2015-2017;999;3;G;70;7,83;95;16300
A1 Sportback 1.0 TFSI Active Kit S Tronic;2015-2017;999;3;G;70;7,83;95;17800
A1 Sportback 1.0 TFSI Adrenalin;2015-2017;999;3;G;70;7,83;95;15700
A1 Sportback 1.0 TFSI Adrenalin S Tronic;2015-2017;999;3;G;70;7,83;95;17200
A1 Sportback 1.0 TFSI Adrenalin2;2015-2017;999;3;G;70;7,83;95;19300
A1 Sportback 1.0 TFSI Adrenalin2 S Tronic;2015-2017;999;3;G;70;7,83;95;19300
A1 Sportback 1.0 TFSI Attracted;2015-2017;999;3;G;70;7,83;95;15100
A1 Sportback 1.0 TFSI Attracted S Tronic;2015-2017;999;3;G;70;7,83;95;16500
A1 Sportback 1.0 TFSI Attraction 95;2015-2017;999;3;G;70;7,83;95;14100
A1 Sportback 1.0 TFSI Attraction S Tronic;2015-2017;999;3;G;70;7,83;95;15600
A1 Sportback 1.0 TFSI Design;2015-2017;999;3;G;70;7,83;95;16000
A1 Sportback 1.0 TFSI Design S Tronic;2015-2017;999;3;G;70;7,83;95;17400
A1 Sportback 1.0 30 TFSI 6 vel.;2018-;1000;3;G;85;7,83;116;17700
A1 Sportback 1.0 30 TFSI 6 vel. Advanced;2018-;1000;3;G;85;7,83;116;18800
A1 Sportback 1.0 30 TFSI 6 vel. Black line;2018-;1000;3;G;85;7,83;116;20800
A1 Sportback 1.0 30 TFSI 6 vel. S line;2018-;1000;3;G;85;7,83;116;19800
A1 Sportback 1.0 30 TFSI S tronic 7 vel.;2018-;1000;3;G;85;7,83;116;19200
A1 Sportback 1.0 30 TFSI S tronic 7 vel. Advanced;2018-;1000;3;G;85;7,83;116;20300
A1 Sportback 1.0 30 TFSI S tronic 7 vel. Black line;2018-;1000;3;G;85;7,83;116;22300
A1 Sportback 1.0 30 TFSI S tronic 7 vel. S line;2018-;1000;3;G;85;7,83;116;21300
A1 Sportback 1.2 TFSI Adrenalin;2011-2014;1197;4;G;63;9,79;86;13800
A1 Sportback 1.2 TFSI Adrenalin2;2011-2014;1197;4;G;63;9,79;86;16600
A1 Sportback 1.2 TFSI Ambition;2011-2014;1197;4;G;63;9,79;86;14900
A1 Sportback 1.2 TFSI Attracted;2011-2014;1197;4;G;63;9,79;86;15000
A1 Sportback 1.2 TFSI Attraction;2011-2014;1197;4;G;63;9,79;86;13000
A1 Sportback 1.2 TFSI Kult;2011-2014;1197;4;G;63;9,79;86;13700
A1 Sportback 1.4 TFSI Adrenalin2;2011-2014;1390;4;G;90;10,71;122;19000
A1 Sportback 1.4 TFSI Ambition;2011-2014;1390;4;G;90;10,71;122;17200
A1 Sportback 1.4 TFSI Attraction;2011-2014;1390;4;G;90;10,71;122;15200
A1 Sportback 1.4 TFSI Adrenalin2 S-T;2011-2014;1390;4;G;90;10,71;122;20400
A1 Sportback 1.4 TFSI Ambition S-T;2011-2014;1390;4;G;90;10,71;122;18600
A1 Sportback 1.4 TFSI Attraction S-T;2011-2014;1390;4;G;90;10,71;122;16600
A1 Sportback 1.4 TFSI Ambition S-T 185;2011-2014;1390;4;G;136;10,71;185;21800
A1 Sportback 1.4 TFSI Adrenalin2 S-T 185;2011-2014;1390;4;G;136;10,71;185;23700
A1 Sportback 1.4 TFSI CoD Adrenalin2 140;2011-2014;1395;4;G;103;10,73;140;19200
A1 Sportback 1.4 TFSI CoD Adrenalin2 S-Tronic 140;2011-2014;1395;4;G;103;10,73;140;20500
A1 Sportback 1.4 TFSI CoD Ambition 140;2011-2014;1395;4;G;103;10,73;140;18000
A1 Sportback 1.4 TFSI CoD Ambition S-Tronic 140;2011-2014;1395;4;G;103;10,73;140;19300
A1 Sportback 1.4 TFSI CoD Attraction 140;2011-2014;1395;4;G;103;10,73;140;16000
A1 Sportback 1.4 TFSI CoD Attraction S-Tronic 140;2011-2014;1395;4;G;103;10,73;140;17400
A1 Sportback 1.4 TFSI Active Kit 125;2015-;1395;4;G;92;10,73;125;18900
A1 Sportback 1.4 TFSI Active Kit 125 (4.75);2015-;1395;4;G;92;10,73;125;21000
A1 Sportback 1.4 TFSI Active Kit S Tronic 125;2015-;1395;4;G;92;10,73;125;20500
A1 Sportback 1.4 TFSI Adrenalin 125;2015-;1395;4;G;92;10,73;125;18300
A1 Sportback 1.4 TFSI Adrenalin 125 (4.75);2015-;1395;4;G;92;10,73;125;19900
A1 Sportback 1.4 TFSI Adrenalin S Tronic 125;2015-;1395;4;G;92;10,73;125;19800
A1 Sportback 1.4 TFSI Adrenalin2 125;2015-;1395;4;G;92;10,73;125;19800
A1 Sportback 1.4 TFSI Adrenalin2 125 (4.75);2015-;1395;4;G;92;10,73;125;21600
A1 Sportback 1.4 TFSI Adrenalin2 S Tronic 125;2015-;1395;4;G;92;10,73;125;21400
A1 Sportback 1.4 TFSI Attraction 125;2015-;1395;4;G;92;10,73;125;16500
A1 Sportback 1.4 TFSI Attraction 125 (4.75);2015-;1395;4;G;92;10,73;125;19800
A1 Sportback 1.4 TFSI Attraction S Tronic 125;2015-;1395;4;G;92;10,73;125;18000
A1 Sportback 1.4 TFSI Design 125;2015-;1395;4;G;92;10,73;125;18400
A1 Sportback 1.4 TFSI Design 125 (4.75);2015-;1395;4;G;92;10,73;125;20900
A1 Sportback 1.4 TFSI Design S Tronic 125;2015-;1395;4;G;92;10,73;125;19900
A1 Sportback 1.4 TFSI CoD Active Kit 150;2015-;1395;4;G;110;10,73;150;20200
A1 Sportback 1.4 TFSI CoD Active Kit S Tronic 150;2015-;1395;4;G;110;10,73;150;21700
A1 Sportback 1.4 TFSI CoD Adrenalin 150;2015-;1395;4;G;110;10,73;150;19500
A1 Sportback 1.4 TFSI CoD Adrenalin S Tronic 150;2015-;1395;4;G;110;10,73;150;21000
A1 Sportback 1.4 TFSI CoD Adrenalin2 150;2015-;1395;4;G;110;10,73;150;21100
A1 Sportback 1.4 TFSI CoD Adrenalin2 S Tronic 150;2015-;1395;4;G;110;10,73;150;22600
A1 Sportback 1.4 TFSI CoD Attraction 150;2015-;1395;4;G;110;10,73;150;17700
A1 Sportback 1.4 TFSI CoD Attraction S Tronic 150;2015-;1395;4;G;110;10,73;150;19200
A1 Sportback 1.4 TFSI CoD Design 150;2015-;1395;4;G;110;10,73;150;19600
A1 Sportback 1.4 TFSI CoD Design S Tronic 150;2015-;1395;4;G;110;10,73;150;21000
A1 Sportback 1.4 TDI Active Kit;2015-;1422;3;D;66;9,68;90;19200
A1 Sportback 1.4 TDI Active Kit S Tronic;2015-;1422;3;D;66;9,68;90;20800
A1 Sportback 1.4 TDI Adrenalin;2015-;1422;3;D;66;9,68;90;18700
A1 Sportback 1.4 TDI Adrenalin S Tronic;2015-;1422;3;D;66;9,68;90;20400
A1 Sportback 1.4 TDI Adrenalin2;2015-;1422;3;D;66;9,68;90;20400
A1 Sportback 1.4 TDI Adrenalin2 S Tronic;2015-;1422;3;D;66;9,68;90;22000
A1 Sportback 1.4 TDI Attracted;2015-;1422;3;D;66;9,68;90;18000
A1 Sportback 1.4 TDI Attracted S Tronic;2015-;1422;3;D;66;9,68;90;19600
A1 Sportback 1.4 TDI Attraction;2015-;1422;3;D;66;9,68;90;17000
A1 Sportback 1.4 TDI Attraction S Tronic;2015-;1422;3;D;66;9,68;90;18500
A1 Sportback 1.4 TDI Design;2015-;1422;3;D;66;9,68;90;18900
A1 Sportback 1.4 TDI Design S Tronic;2015-;1422;3;D;66;9,68;90;20500
A1 Sportback 1.4 TDI ultra Adrenalin;2015-;1422;3;D;66;9,68;90;18500
A1 Sportback 1.4 TDI ultra Adrenalin S Tronic;2015-;1422;3;D;66;9,68;90;20100
A1 Sportback 1.4 TDI ultra Adrenalin2;2015-;1422;3;D;66;9,68;90;20200
A1 Sportback 1.4 TDI ultra Adrenalin2 S Tronic;2015-;1422;3;D;66;9,68;90;21800
A1 Sportback 1.4 TDI ultra Attracted;2015-;1422;3;D;66;9,68;90;17800
A1 Sportback 1.4 TDI ultra Attracted S Tronic;2015-;1422;3;D;66;9,68;90;19400
A1 Sportback 1.4 TDI ultra Attraction;2015-;1422;3;D;66;9,68;90;16700
A1 Sportback 1.4 TDI ultra Attraction S Tronic;2015-;1422;3;D;66;9,68;90;18300
A1 Sportback 1.4 TDI ultra Design;2015-;1422;3;D;66;9,68;90;18700
A1 Sportback 1.4 TDI ultra Design S Tronic;2015-;1422;3;D;66;9,68;90;20200
A3 Sportback 1.5 35 TFSI 6 vel.;2018-;1495;4;G;110;11,19;150;23900
A3 Sportback 1.5 35 TFSI Black line 6 vel.;2018-;1495;4;G;110;11,19;150;27900
A3 Sportback 1.5 35 TFSI Black line S tronic;2018-;1495;4;G;110;11,19;150;28700
A3 Sportback 1.5 35 TFSI Design 6 vel.;2018-;1495;4;G;110;11,19;150;26000
A3 Sportback 1.5 35 TFSI Design S tronic;2018-;1495;4;G;110;11,19;150;26900
A3 Sportback 1.5 35 TFSI S line 6 vel.;2018-;1495;4;G;110;11,19;150;27000
A3 Sportback 1.5 35 TFSI S line S tronic;2018-;1495;4;G;110;11,19;150;27800
A3 Sportback 1.5 35 TFSI S tronic;2018-;1495;4;G;110;11,19;150;24700
A1 Sportback 1.5 TFSI S Line 35;2019-;1498;4;G;110;11,2;150;19700
A1 Sportback 1.5 35 TFSI 6 vel.;2019-;1495;4;G;110;11,19;150;18600
A1 Sportback 1.5 35 TFSI S Tronic;2019-;1495;4;G;110;11,19;150;20500
A1 Sportback 1.0 25 TFSI 5 vel.;2019-;999;3;G;70;7,83;95;16700
A1 Sportback 1.0 25 TFSI S Tronic 6 vel.;2019-;999;3;G;70;7,83;95;18200
A1 Sportback Advanced 1.5 35 TFSI 6 vel.;2019-;1495;4;G;110;11,19;150;19700
A1 Sportback Advanced 1.5 35 TFSI S Tronic;2019-;1495;4;G;110;11,19;150;21600
A1 Sportback Advanced 1.0 25 TFSI 5 vel.;2019-;999;3;G;70;7,83;95;17800
A1 Sportback Advanced 1.0 25 TFSI S Tronic 6 vel.;2019-;999;3;G;70;7,83;95;19300
A1 Sportback S Line 1.5 35 TFSI 6 vel.;2019-;1495;4;G;110;11,19;150;20800
A1 Sportback S Line 1.5 35 TFSI S Tronic;2019-;1495;4;G;110;11,19;150;22600
A1 Sportback S Line 1.0 25 TFSI 5 vel.;2019-;999;3;G;70;7,83;95;18900
A1 Sportback S Line 1.0 25 TFSI S Tronic 6 vel.;2019-;999;3;G;70;7,83;95;20400
A1 Sportback S Line 2.0 40 TFSI S Tronic 6 vel.;2019-;1984;4;G;147;13,26;200;26900
A1 Sportback Black Line 1.5 35 TFSI 6 vel.;2019-;1495;4;G;110;11,19;150;21700
A1 Sportback Black Line 1.5 35 TFSI S Tronic;2019-;1495;4;G;110;11,19;150;23600
A1 Sportback Black Line 1.0 25 TFSI 5 vel.;2019-;999;3;G;70;7,83;95;19800
A1 Sportback Black Line 1.0 25 TFSI S Tronic 6 vel.;2019-;999;3;G;70;7,83;95;21300
A1 Sportback Black Line 2.0 40 TFSI S Tronic 6 vel.;2019-;1984;4;G;147;13,26;200;27900
A1 Sportback Adrenalin 1.0 25 TFSI 5 vel.;2019-;999;3;G;70;7,83;95;20300
A1 Sportback Adrenalin 1.0 30 TFSI 6 vel.;2019-;999;3;G;85;7,83;116;21200
A1 Sportback Adrenalin 1.0 30 TFSI S Tronic 7 vel.;2019-;999;3;G;85;7,83;116;22800
A1 Sportback 1.6 TDI Adrenalin;2011-2014;1598;4;D;66;11,64;90;15800
A1 Sportback 1.6 TDI Adrenalin2;2011-2014;1598;4;D;66;11,64;90;18700
A1 Sportback 1.6 TDI Ambition;2011-2014;1598;4;D;66;11,64;90;16900
A1 Sportback 1.6 TDI Attracted;2011-2014;1598;4;D;66;11,64;90;17100
A1 Sportback 1.6 TDI Attraction;2011-2014;1598;4;D;66;11,64;90;14900
A1 Sportback 1.6 TDI Adrenalin S-T;2011-2014;1598;4;D;66;11,64;90;17200
A1 Sportback 1.6 TDI Adrenalin2 S-T;2011-2014;1598;4;D;66;11,64;90;20100
A1 Sportback 1.6 TDI Ambition S-T;2011-2014;1598;4;D;66;11,64;90;18300
A1 Sportback 1.6 TDI Attracted S-T;2011-2014;1598;4;D;66;11,64;90;18500
A1 Sportback 1.6 TDI Attraction S-T;2011-2014;1598;4;D;66;11,64;90;16300
A1 Sportback 1.6 TDI Adrenalin2 105;2011-2014;1598;4;D;77;11,64;105;19500
A1 Sportback 1.6 TDI Ambition 105;2011-2014;1598;4;D;77;11,64;105;17700
A1 Sportback 1.6 TDI Attraction 105;2011-2014;1598;4;D;77;11,64;105;15700
A1 Sportback 1.6 TDI Active Kit;2015-;1598;4;D;85;11,64;116;20400
A1 Sportback 1.6 TDI Active Kit S Tronic;2015-;1598;4;D;85;11,64;116;22000
A1 Sportback 1.6 TDI Adrenalin;2015-;1598;4;D;85;11,64;116;19700
A1 Sportback 1.6 TDI Adrenalin S Tronic;2015-;1598;4;D;85;11,64;116;21300
A1 Sportback 1.6 TDI Adrenalin2;2015-;1598;4;D;85;11,64;116;21300
A1 Sportback 1.6 TDI Adrenalin2 S Tronic;2015-;1598;4;D;85;11,64;116;22900
A1 Sportback 1.6 TDI Attraction;2015-;1598;4;D;85;11,64;116;17800
A1 Sportback 1.6 TDI Attraction S Tronic;2015-;1598;4;D;85;11,64;116;19400
A1 Sportback 1.6 TDI Design;2015-;1598;4;D;85;11,64;116;19800
A1 Sportback 1.6 TDI Design S Tronic;2015-;1598;4;D;85;11,64;116;21300
A3 Sportback 1.5 30 Design G-Tron S Tronic;2019-;1598;4;S;96;11,64;131;26700
A3 Sportback 1.6 30 TDI 6 vel.;2018-;1598;4;D;85;11,64;116;23400
A3 Sportback 1.6 30 TDI Black line 6 vel.;2018-;1598;4;D;85;11,64;116;27400
A3 Sportback 1.6 30 TDI Black line S tronic;2018-;1598;4;D;85;11,64;116;29300
A3 Sportback 1.6 30 TDI Design 6 vel.;2018-;1598;4;D;85;11,64;116;25500
A3 Sportback 1.6 30 TDI Design S tronic;2018-;1598;4;D;85;11,64;116;27400
A3 Sportback 1.6 30 TDI S line 6 vel.;2018-;1598;4;D;85;11,64;116;26500
A3 Sportback 1.6 30 TDI S line S tronic;2018-;1598;4;D;85;11,64;116;28400
A3 Sportback 1.6 30 TDI S tronic;2018-;1598;4;D;85;11,64;116;25200
A1 Sportback 1.8 TFSI Adrenalin2 S Tronic;2015-;1798;4;G;141;12,5;192;25600
A1 Sportback 1.8 TFSI S Tronic;2015-;1798;4;G;141;12,5;192;23800
A1 Sportback 2.0 TDI Adrenalin2;2011-2014;1968;4;D;105;13,19;143;21100
A1 Sportback 2.0 TDI Ambition;2011-2014;1968;4;D;105;13,19;143;19200
A1 S1 Sportback 2.0 TFSI;2011-2014;1984;4;G;170;13,26;231;27100
A1 S1 Sportback 2.0 TFSI quattro;2015-;1984;4;G;170;13,26;231;28500
A2 1.2 TDI;2000-2005;1191;4;D;45;9,76;61;16300
A2 1.4;2000-2005;1390;4;G;55;10,71;75;14800
A2 1.4 TDI;2000-2005;1422;3;D;55;9,68;75;16800
A2 1.4 TDI 90CV;2000-2005;1422;3;D;66;9,68;90;17800
A2 1.6;2000-2005;1598;4;G;81;11,64;110;16400
A3 1.0 TFSI 116;2016-2018;999;4;G;85;8,78;116;19100
A3 1.0 TFSI S-tronic 116;2016-2018;999;4;G;85;8,78;116;20800
A3 1.0 TFSI Design Edition/Sport Edition 116;2016-2018;999;4;G;85;8,78;116;20600
