Modelo-Tipo;Período comercial;cilindrada;cilindros;combustible;potencia Kwh;CVF;potencia CV;precio medio 2020
A4 AVANT 2.0 40 TDI S line quattro-ultra S tronic 7 vel.;2018-;1968;4;D;140;13,19;190;45100
A4 AVANT 2.0 40 TDI S line S tronic 7 vel.;2018-;1968;4;D;140;13,19;190;41200
A4 AVANT 2.5 TDI;1996-2001;2496;6;D;110;17,89;150;24400
A4 AVANT 2.5 TDI Quattro/Tiptronic;1996-2001;2496;6;D;110;17,89;150;26200
A4 AVANT 2.5 TDI Quattro Tiptronic;1996-2001;2496;6;D;110;17,89;150;28000
A4 AVANT 2.5 TDI 155;2001-2004;2496;6;D;114;17,89;155;26000
A4 AVANT 2.5 TDI 163;2001-2004;2496;6;D;120;17,89;163;26800
A4 AVANT 2.5 TDI 155 Multitronic;2001-2004;2496;6;D;114;17,89;155;27500
A4 AVANT 2.5 TDI 163 Multitronic;2001-2004;2496;6;D;120;17,89;163;28400
A4 AVANT 2.5 TDI Quattro 180;2001-2004;2496;6;D;132;17,89;180;29900
A4 AVANT 2.5 TDI Quattro Tiptronic 180;2001-2004;2496;6;D;132;17,89;180;31500
A4 AVANT 2.5 TDI (163CV);2004-2008;2496;6;D;120;17,89;163;27900
A4 AVANT 2.5 TDI Multitronic (163CV);2004-2008;2496;6;D;120;17,89;163;29300
A4 AVANT 2.6;1996-2001;2598;6;G;110;18,33;150;20300
A4 AVANT 2.6 Aut/Quattro/Tiptronic;1996-2001;2598;6;G;110;18,33;150;22000
A4 AVANT 2.7 TDI;2004-2008;2698;6;D;132;18,75;180;29400
A4 AVANT 2.7 TDI DPF (2004);2004-2008;2698;6;D;132;18,75;180;30000
A4 AVANT 2.7 TDI Multitronic;2004-2008;2698;6;D;132;18,75;180;31000
A4 AVANT 2.7 TDI Multitronic DPF;2004-2008;2698;6;D;132;18,75;180;31500
A4 AVANT 2.7 TDI DPF;2008-2011;2698;6;D;140;18,75;190;32300
A4 AVANT 2.7 TDI DPF Multitronic;2008-2011;2698;6;D;140;18,75;190;34000
A4 AVANT 2.8 (193CV);1996-2001;2771;6;G;142;19,05;193;25500
A4 AVANT 2.8 Aut/Tiptronic (193CV);1996-2001;2771;6;G;142;19,05;193;26800
A4 AVANT 2.8 Quattro/Quattro Aut (193CV);1996-2001;2771;6;G;142;19,05;193;27500
A4 AVANT 2.8 Quattro Tiptronic (193CV);1996-2001;2771;6;G;142;19,05;193;28900
A4 AVANT 3.0;2001-2004;2976;6;G;162;19,89;220;28000
A4 AVANT 3.0 Multitronic/Quattro;2001-2004;2976;6;G;162;19,89;220;29800
A4 AVANT 3.0 Quattro Tiptronic;2001-2004;2976;6;G;162;19,89;220;31400
A4 AVANT 3.0 TDI Quattro;2004-2008;2967;6;D;150;19,85;204;32100
A4 AVANT 3.0 TDI Quattro 233CV;2004-2008;2967;6;D;171;19,85;233;34100
A4 AVANT 3.0 TDI Quattro DPF (2004);2004-2008;2967;6;D;150;19,85;204;32100
A4 AVANT 3.0 TDI Quattro DPF 233CV;2004-2008;2967;6;D;171;19,85;233;34700
A4 AVANT 3.0 TDI Quattro Tiptronic;2004-2008;2967;6;D;150;19,85;204;33700
A4 AVANT 3.0 TDI Quattro Tiptronic 233CV;2004-2008;2967;6;D;171;19,85;233;35700
A4 AVANT 3.0 TDI Quattro Tiptronic DPF;2004-2008;2967;6;D;150;19,85;204;33700
A4 AVANT 3.0 TDI Quattro Tiptronic DPF 233CV;2004-2008;2967;6;D;171;19,85;233;36300
A4 AVANT 3.0 TDI Quattro DPF;2008-2011;2967;6;D;176;19,85;239;36900
A4 AVANT 3.0 TDI Quattro S-T DPF;2008-2011;2967;6;D;177;19,85;240;39500
A4 AVANT 3.0 TDI CD Quattro Tiptronic DPF;2008-2011;2967;6;D;177;19,85;240;41000
A4 AVANT 3.0 TDI Q. DPF Tip;2008-2011;2967;6;D;176;19,85;239;38500
A4 AVANT 3.0 TDI DPF;2012-2015;2967;6;D;150;19,85;204;33500
A4 AVANT 3.0 TDI DPF Multitronic;2012-2015;2967;6;D;150;19,85;204;35200
A4 AVANT 3.0 TDI CD DPF Quattro S-Tronic 245;2012-2015;2967;6;D;180;19,85;245;41300
A4 AVANT 3.0 TDI CD DPF S line edition Quattro S-Tronic 245;2012-2015;2967;6;D;180;19,85;245;43200
A4 AVANT 3.0 CD Quattro S-Tronic 245;2012-2015;2967;6;D;180;19,85;245;45600
A4 AVANT 3.0 CD S line edition Quattro S-Tronic 245;2012-2015;2967;6;D;180;19,85;245;46300
A4 AVANT 3.0 TDI DPF Quattro 245;2012-2015;2967;6;D;180;19,85;245;38400
A4 AVANT 3.0 TDI DPF Quattro S-Tronic 245;2012-2015;2967;6;D;180;19,85;245;40100
A4 AVANT 3.0 TDI DPF S line edition 204;2012-2015;2967;6;D;150;19,85;204;35000
A4 AVANT 3.0 TDI DPF S line edition Multitronic 204;2012-2015;2967;6;D;150;19,85;204;36700
