Fecha,Modelo,Version,Precio,Kilometraje,Año,Potencia,Cambio,Combustible,Ciudad
31/05/2020,Audi A3,1.6TDI Genuine Edition,9200,180.000,07/2011,77 kW (105 CV),Manual,Diésel,02400 Hellin
31/05/2020,Audi A3,2.0 tfsi tracion quattro sline,9250,216.000,07/2004,200 kW (272 CV),Manual,Gasolina,24403 Ponferrada
31/05/2020,Audi A3,2.0TDI Attraction,9400,110.000,11/2011,103 kW (140 CV),Manual,Diésel,48480 Bilbao
31/05/2020,Audi A3,Sportback 1.6TDI Ambiente S-Tronic,9500,69.000,05/2010,77 kW (105 CV),Automático,Diésel,08760 Martorell
31/05/2020,Audi A3,1.4 TFSI Ambiente S-Tronic,9500,120.000,03/2009,92 kW (125 CV),Automático,Gasolina,46870 Ontinyent
31/05/2020,Audi A3,1.6TDI Ambiente,9500,116.000,08/2010,77 kW (105 CV),Manual,Diésel,12005 CASTELLON DE LA PLANA
31/05/2020,Audi A3,1.8 TFSI Ambition,9500,71.000,11/2008,118 kW (160 CV),Manual,Gasolina,48012 Bilbao
31/05/2020,Audi A3,Cabrio 2.0TDI Attraction DPF,9899,188.000,09/2008,103 kW (140 CV),Manual,Diésel,46007 Valencia
31/05/2020,Audi A3,3.2 quattro Sportback Ambition,9900,143.000,08/2006,184 kW (250 CV),Manual,Gasolina,04740 Roquetas De Mar
31/05/2020,Audi A3,Sportback 2.0TDI Ambition,9900,106.000,01/2009,103 kW (140 CV),Manual,Diésel,08915 badalona
31/05/2020,Audi A3,2.0 FSI Ambition,9980,50.000,03/2004,110 kW (150 CV),Manual,Gasolina,50001 Zaragoza
31/05/2020,Audi A3,Sportback 1.6TDI Attraction 105,9990,180.000,02/2014,77 kW (105 CV),Manual,Diésel,08204 sabadell
31/05/2020,Audi A3,1.6TDI Attraction S-Tronic,9999,138.000,06/2012,77 kW (105 CV),Automático,Diésel,39180 Noja
31/05/2020,Audi A3,Sportback 1.6TDI Genuine Edition S-T,9999,155.000,12/2011,77 kW (105 CV),Automático,Diésel,05005 Ávila
31/05/2020,Audi A3,Sedán 1.6TDI Adrenalin S-Tronic,10000,142.000,06/2014,77 kW (105 CV),Automático,Diésel,28050 Madrid
31/05/2020,Audi A3,Sportback 3.2 V6 Ambition quattro S-T,10000,110.000,07/2005,184 kW (250 CV),Automático,Gasolina,28007 Madrid
31/05/2020,Audi A3,Sportback 1.6TDI CD S line edition,10000,171.000,11/2015,81 kW (110 CV),Manual,Diésel,30008 Murcia
